Source,Target,Common
httpclient,lucene-solr,33.6462
httpclient,AspectJ,23.5272
httpclient,jackrabbit,32.3254
httpclient,JDT,27.9696
httpclient,SWT,38.6158
httpclient,Eclipse_Platform_UI,24.0101
lucene-solr,httpclient,50.0735
lucene-solr,AspectJ,33.3663
lucene-solr,jackrabbit,43.0078
lucene-solr,JDT,40.1139
lucene-solr,SWT,51.5045
lucene-solr,Eclipse_Platform_UI,34.406
AspectJ,httpclient,69.8897
AspectJ,lucene-solr,66.6008
AspectJ,jackrabbit,65.8047
AspectJ,JDT,68.8615
AspectJ,SWT,74.5737
AspectJ,Eclipse_Platform_UI,62.012
jackrabbit,httpclient,59.7426
jackrabbit,lucene-solr,53.4091
jackrabbit,AspectJ,40.9406
jackrabbit,JDT,47.2296
jackrabbit,SWT,56.8205
jackrabbit,Eclipse_Platform_UI,41.1641
JDT,httpclient,54.1912
JDT,lucene-solr,52.2233
JDT,AspectJ,44.9134
JDT,jackrabbit,49.5126
JDT,SWT,70.5115
JDT,Eclipse_Platform_UI,51.5181
SWT,httpclient,28.3088
SWT,lucene-solr,25.3706
SWT,AspectJ,18.4035
SWT,jackrabbit,22.5383
SWT,JDT,26.6793
SWT,Eclipse_Platform_UI,23.1006
Eclipse_Platform_UI,httpclient,63.0882
Eclipse_Platform_UI,lucene-solr,60.746
Eclipse_Platform_UI,AspectJ,54.8515
Eclipse_Platform_UI,jackrabbit,58.524
Eclipse_Platform_UI,JDT,69.8672
Eclipse_Platform_UI,SWT,82.7984
